sensor id,data time,exp,fill_lvl
070c47082e9c2a1d,20171013_064628,9.4,22
070c47082e9c2a1d,20171013_093223,10.4,22
070c47082e9c2a1d,20171013_104558,9.9,22
070c47082e9c2a1d,20171013_124559,9.9,22
070c47082e9c2a1d,20171013_144601,10.0,22
070c47082e9c2a1d,20171013_164604,9.2,22
070c47082e9c2a1d,20171013_184602,9.2,22
070c47082e9c2a1d,20171013_204605,9.2,22
070c47082e9c2a1d,20171013_224607,9.1,22
070c47082e9c2a1d,20171014_004609,9.2,22
070c47082e9c2a1d,20171014_024611,5.0,22
070c47082e9c2a1d,20171014_044614,9.1,22
070c47082e9c2a1d,20171014_064623,9.1,22
070c47082e9c2a1d,20171014_084634,9.3,22
070c47082e9c2a1d,20171014_104647,9.5,22
070c47082e9c2a1d,20171014_131933,9.7,22
070c47082e9c2a1d,20171014_144554,9.7,22
070c47082e9c2a1d,20171014_164559,9.7,22
070c47082e9c2a1d,20171014_184600,9.1,22
070c47082e9c2a1d,20171014_204601,9.1,22
070c47082e9c2a1d,20171014_224602,9.1,22
070c47082e9c2a1d,20171015_004604,9.1,22
070c47082e9c2a1d,20171015_024606,9.2,22
070c47082e9c2a1d,20171015_044606,9.1,22
070c47082e9c2a1d,20171015_064609,5.0,22
070c47082e9c2a1d,20171015_084610,5.0,22
070c47082e9c2a1d,20171015_104613,9.5,22
070c47082e9c2a1d,20171015_124614,9.5,22
070c47082e9c2a1d,20171015_144618,9.7,22
070c47082e9c2a1d,20171015_164620,9.6,22
070c47082e9c2a1d,20171015_204554,9.1,22
070c47082e9c2a1d,20171015_224559,9.1,22
070c47082e9c2a1d,20171016_004604,9.1,22
070c47082e9c2a1d,20171016_024604,9.1,22
070c47082e9c2a1d,20171016_044606,9.1,22
070c47082e9c2a1d,20171016_064609,9.1,22
070c47082e9c2a1d,20171016_084611,9.2,22
